run_id,created_at,system,dataset,num_tasks,accuracy,accuracy_test_pair_level,accuracy_file_level,accuracy_pass_at_1,accuracy_pass_at_2,accuracy_pass_at_m,total_tokens,total_prompt_tokens,total_completion_tokens,num_explorers,explorer_temperature,num_definers,mode,ablation,source_explorer_run_id
019e1ac0-5547-7d6a-ac0a-6ff9aa78da7a,2026-05-12T05:54:29.804195+00:00,pipeline,training,399,0.6466165413533834,,,0.6466165413533834,,0.6466165413533834,84143980,74948484,9195496,,,,,,
019e1ac0-5523-7959-acb2-8b7ff6f84951,2026-05-12T05:54:29.804195+00:00,pipeline,evaluation,400,0.44,0.4602409638554217,,0.44,,0.44,106829255,95412241,11417014,,,,,,
019e1ac3-28b1-75cb-8865-cd876ec34425,2026-05-12T05:57:37.973286+00:00,CoT,training,400,0.295,0.31009615384615385,0.295,,,,2075894,1248526,827368,,,,,,
019e1ac3-28ba-7700-a193-a6ba7ff3239a,2026-05-12T05:57:37.973286+00:00,CoT,evaluation,400,0.155,0.16467780429594273,0.155,,,,3139333,1970497,1168836,,,,,,
019e1ac3-28aa-72c7-8eab-39ff23ef3da7,2026-05-12T05:57:37.973286+00:00,baseline,evaluation,400,0.145,0.15513126491646778,0.145,,,,2350554,2046173,304381,,,,,,
019e1ac3-2899-7a00-bc2e-e7c2bfd963f2,2026-05-12T05:57:37.973286+00:00,baseline,training,400,0.27,0.28846153846153844,0.27,,,,1431406,1258122,173284,,,,,,
019e27bb-2f7e-741e-9ea1-05c4b5b0b775,2026-05-14T18:23:59.479686+00:00,baseline,evaluation,400,0.1525,0.15990453460620524,0.1525,,,,2354936,2051318,303618,,,,,,
019e289c-95d2-77ce-af93-46240142069f,2026-05-14T22:30:11.228714+00:00,pipeline,evaluation,399,0.40601503759398494,0.42718446601941745,,0.40601503759398494,0.40601503759398494,0.40601503759398494,18693092,15987626,2705466,,,1,definer_only,,019e1ac0-5523-7959-acb2-8b7ff6f84951
019e28b9-6a90-7242-89a7-91a4e7680fb8,2026-05-14T23:01:40.745261+00:00,pipeline,evaluation,400,0.535,0.5250596658711217,,0.51,0.535,0.5375,95024938,81669410,13355528,,,5,definer_only,,019e1ac0-5523-7959-acb2-8b7ff6f84951
019e2c5b-77a5-7beb-b79c-f88c99646568,2026-05-15T15:57:32.663515+00:00,arc_base,evaluation,400,0.0425,0.04295942720763723,0.0425,,,,4110798,3569557,541241,,,,,,
019e3df9-13d3-7d55-ba13-ae6b2a549273,2026-05-19T02:03:14.348163+00:00,baseline,evaluation,400,0.1375,0.14558472553699284,0.1375,,,,2355688,2048423,307265,,,,,,
019e3e30-528a-7737-a871-39cce465a600,2026-05-19T03:03:34.976883+00:00,CoT,evaluation,400,0.265,0.2840095465393795,0.265,,,,4971038,2052027,2919011,,,,,,
019e3e37-a246-7748-81dd-c31055e09480,2026-05-19T03:11:34.048565+00:00,baseline,training,400,0.27,0.29086538461538464,0.27,,,,1417662,1246741,170921,,,,,,
019e3e5d-b8fe-73e3-96ca-75bdcf386d01,2026-05-19T03:53:10.222396+00:00,CoT,training,400,0.4675,0.4807692307692308,0.4675,,,,3348343,1269495,2078848,,,,,,
019e3e84-2d28-7445-afb9-113ff0508ad8,2026-05-19T04:35:10.293296+00:00,pipeline,evaluation,400,0.505,0.4916467780429594,,0.4775,0.505,0.51,180350965,157766506,22584459,,,5,,,
